"马克思主义的基本观点，是关于（  ）发展一般规律的科学认识，是对人类思想成果和社会实践经验的科学总结。",单选,C,自然、社会和政治,自然、社会和经济,自然、社会和人类思维,自然、社会和文化,0
下列错误的观点是,单选,A,人民群众不是历史的创造者,人民群众是历史的创造者,人民群众是社会历史的主体,人民群众是一个历史范畴,0
3．认识的本质是 ,单选,C,主体对客体的加工,主体对客体的改造,主体对客体的能动反映,主体对客体的作用,0
"马克思主义哲学与唯心主义哲学、旧唯物主义哲学的根本区别在于",单选,B,坚持人的主体地位,坚持从客观的物质实践活动去理解现实世界,坚持用辩证发展的观点去认识世界,坚持物质第一性、意识第二性,0
"国家垄断资本主义的产生和发展从根本上说是",单选,D,国内市场竞争的结果,国际竞争激烈化的结果,垄断统治加强的结果,生产社会化和资本主义私人占有制之间矛盾发展的结果,0
"当代资本主义国际垄断组织的主要形式是",单选,C,国际卡特尔,混合联合企业级,跨国公司,国际康采恩,0
"在垄断资本主义阶段，占统治地位的资本是",单选,D,工业资本,农业资本,银行资本,金融资本,0
下列哪个帝国主义阶段的资本主义基本特征不是列宁指出的,单选,B,垄断组织在经济生活中起决定作用,垄断资本获取一般利润,形成金融寡头的统治,瓜分世界的资本家国际垄断同盟已经形成,0
"下列不属于经济全球化发展趋势的选项是",单选,D,市场经济成为全球经济体制,区域经济集团日益发展,跨国公司的主导作用增强,国际经济新秩序的建立,0
“人的依赖性关系”是,单选,A,资本主义社会以前的人与人之间的关系,资本主义社会之中的人与人之间的关系,社会主义社会之中的人与人之间的关系,共产主义社会之中的人与人之间的关系,0
人类社会最终会走向,单选,D,奴隶社会,封建社会,资本主义社会,共产主义社会,0
“未来的事情具体如何发展，应该由未来的实践去回答”  。这种观点属于,单选,D,唯物主义预见未来社会的方法,空想社会主义预见未来社会的方法,唯心主义预见未来社会的方法,马克思主义预见未来社会的方法,0
未来共产主义社会是,单选,D,独立国家联合体,独立个人联合体,自由组织联合体,自由人的联合体,0
“必然王国”和“自由王国”是,单选,C,时间性概念,空间性概念,历史性概念,物质性概念,0
私有制基础上商品经济的基本矛盾是（）,单选,D,具体劳动和抽象劳动的矛盾,脑力劳动和体力劳动的矛盾,使用价值和价值的矛盾,私人劳动和社会劳动的矛盾,0
判断社会进步的最高标准是什么（）,单选,B, GDP, 生产力,社会主义核心价值观, 儒家思想,0
真理的绝对性是指它的（）,单选,A,客观性,永恒性,不变性,终极性,0
人类社会和自然界对立统一的基础是（）,单选,A,劳动,地理环境,人口的生产和再生产,物质资料的生产方式,0
检验认识的真理性，就是检验（）,单选,B,主观认识是否清晰明白,主观认识同客观事物及其规律是否符合,主观认识是否和党的方针、政策相一致,认识和理论是否一致,0
空想社会主义的代表中，不包括（ ）,单选,D,圣西门,傅立叶,欧文,马克思,0
下列属于马克思和恩格斯和著作的是（ ）,单选,C,《乌托邦》,《太阳城》,《共产党宣言》,《自然法典》,0
领导巴黎公社革命的是（ ）,单选,B, 资产阶级, 无产阶级, 农民阶级, 地主阶级,0
下列哪次革命胜利后建立了第一个社会主义国家（ ）,单选,C, 巴黎公社革命, 二月革命, 十月革命, 光荣革命,0
中国共产党经过了多少年的革命斗争才建立了新中国（ ）,单选,B,27年,28年,29年,31年,0
形成商品价值的是：,单选,C,简单劳动,复杂劳动,抽象劳动,具体劳动,0
相对剩余价值生产是：,单选,A,通过全社会劳动生产率提高而实现的,通过延长工作日的长度而实现的,通过垄断价格而实现的,通过增加劳动强度实现的,0
工资是：,单选,B,劳动的价格,劳动力的价值,劳动的全部报酬,劳动奖励,0
资本主义经济危机暴发的根本原因：,单选,B,资本主义的发达生产力,资本主义的基本矛盾,资本主义政府监管不力,资本主义市场销售不顺畅,0
资本主义意识形态：,单选,A,为资本主义经济基础服务,为全体国民服务,为全人类服务,不为任何阶级服务,0
一切唯物主义的认识论都是（）,单选,A,反映论,能动的反映论,科学的反映论,机械的反映论,0
《共产党宣言》发表的时间是：,单选,C,1818年,1820年,1848年,1857年,0
